from_destination_id,to_destination_id,distance_km,duration_minutes_car,duration_minutes_bike,transport_mode
0x2e7a5fb4a278b607_0x1d85349bbef2f8,0x2e7a5fcb06b74de1_0x145b490faec18208,0.83,1,3,car
0x2e7a5fb4a278b607_0x1d85349bbef2f8,0x2e7a5fcb7208b3f7_0x5f3ba75243827325,0.93,1,4,car
0x2e7a5fb4a278b607_0x1d85349bbef2f8,0x2e7a569a294b1bf7_0x728bb12ff3356cac,1.22,2,5,car
0x2e7a5fb4a278b607_0x1d85349bbef2f8,0x2e7a5f01d23985b1_0xf95baa6e80a4232d,2.06,3,8,car
0x2e7a5fb4a278b607_0x1d85349bbef2f8,0x2e7a5fbc53569725_0xd69aa0df496239bf,2.17,3,9,car
0x2e7a5fb4a278b607_0x1d85349bbef2f8,0x2e7a5fdcdf4da0af_0xa4e182adcb39c2a6,2.35,4,9,car
0x2e7a5fb4a278b607_0x1d85349bbef2f8,0x2e7a5fe0f3d2588b_0x396c78096c841f43,2.46,4,10,car
0x2e7a5fb4a278b607_0x1d85349bbef2f8,0x2e7a5f402fc34a93_0xea6165a787979c00,3.03,5,12,car
0x2e7a5efa540d4767_0x1e414eda10e5df99,0x2e7a5f2816055e51_0x4e669a2a28c67f85,0.52,1,2,car
0x2e7a5efa540d4767_0x1e414eda10e5df99,0x2e7a5f11bb04997d_0x9fd436be448c08ed,0.8,1,3,car
0x2e7a5efa540d4767_0x1e414eda10e5df99,0x2e7a5fd1e79958a9_0x5d7bfb60322eb9,1.08,2,4,car
0x2e7a5efa540d4767_0x1e414eda10e5df99,0x2e7a5f2a31870305_0x54bbf09aaa2b4850,1.24,2,5,car
0x2e7a5efa540d4767_0x1e414eda10e5df99,0x2e7a59caa0344af9_0xd30e9b303523c195,1.43,2,6,car
0x2e7a5efa540d4767_0x1e414eda10e5df99,0x2e7a5961b48eb597_0x2b2f0bb981310b49,1.43,2,6,car
0x2e7a5efa540d4767_0x1e414eda10e5df99,0x2e7a596c66b3193b_0xdba0c5851678fb27,1.51,2,6,car
0x2e7a5efa540d4767_0x1e414eda10e5df99,0x2e7a592b7e65933f_0x91fb804ebdf0b8ec,1.68,3,7,car
0x2e7a5de3a525c159_0xf67c163f17bf42f9,0x2e7a5d5f2bdaeba7_0x79598629b8e1c86e,0.05,0,0,car
0x2e7a5de3a525c159_0xf67c163f17bf42f9,0x2e7a5db28dbb617b_0xeeffd8446a42a978,0.18,0,1,car
0x2e7a5de3a525c159_0xf67c163f17bf42f9,0x2e7a5dc333560afd_0xb5dc6a7d2b443312,0.33,0,1,car
0x2e7a5de3a525c159_0xf67c163f17bf42f9,0x2e7a5d998fc15b17_0xd80bcaefa0bdb7b3,0.4,1,2,car
0x2e7a5de3a525c159_0xf67c163f17bf42f9,0x2e7a60acafd671df_0xd2d3e41c9f632fd9,0.47,1,2,car
0x2e7a5de3a525c159_0xf67c163f17bf42f9,0x2e7a5f1a2868866d_0x4319c287dfb7b86c,0.51,1,2,car
0x2e7a5de3a525c159_0xf67c163f17bf42f9,0x2e7a5de21c5696bb_0x1c946f8d6d01946,0.53,1,2,car
