name,category,latitude,longitude,city,borough,street,postal_code,state,region,review_rating,review_count,open_hours,open_hours_monday,open_hours_tuesday,open_hours_wednesday,open_hours_thursday,open_hours_friday,open_hours_saturday,price_range,open_hours_sunday,has_toilet,has_restaurant,wheelchair_accessible,good_for_kids,good_for_kids_birthday,has_parking,has_free_parking,requires_appointment,tickets_in_advance,outdoor_seating,delivery_available,dine_in,great_coffee,great_food,cash_only,google_maps_url,source,popularity_score,destination_id
Kembang Arum Tourism Village,Tourist attraction,-7.65609,110.377182,Sleman Regency,"Wetan Kali, Donokerto, Turi","Kembangarum 13, Donokerto, Turi",55551,Special Region of Yogyakarta,Yogyakarta,4.5,1051,Setiap hari: 8.00 am–4.00 pm,8.00 am–4.00 pm,8.00 am–4.00 pm,8.00 am–4.00 pm,8.00 am–4.00 pm,8.00 am–4.00 pm,8.00 am–4.00 pm,,8.00 am–4.00 pm,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://www.google.com/maps/place/Kembang+Arum+Tourism+Village/data=!4m7!3m6!1s0x2e7a5fb4a278b607:0x1d85349bbef2f8!8m2!3d-7.6560902!4d110.3771816!16s%2Fg%2F1pzv4xjgs!19sChIJB7Z4orRfei4R-PK-mzSFHQA?authuser=0&hl=en&rclk=1,google_maps,0.7817,0x2e7a5fb4a278b607_0x1d85349bbef2f8
Tanjung Tourism Village,Tourist attraction,-7.704665,110.379933,Sleman Regency,"Ponason, Donoharjo, Ngaglik","79WH+4XM, Desa Tanjung",55581,Special Region of Yogyakarta,Yogyakarta,4.4,286,Setiap hari: Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,Open 24 hours,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,https://www.google.com/maps/place/Tanjung+Tourism+Village/data=!4m7!3m6!1s0x2e7a5efa540d4767:0x1e414eda10e5df99!8m2!3d-7.704665!4d110.379933!16s%2Fg%2F11bc7qxtyk!19sChIJZ0cNVPpeei4Rmd_lENpOQR4?authuser=0&hl=en&rclk=1,google_maps,0.7245,0x2e7a5efa540d4767_0x1e414eda10e5df99
Desa Wisata Pentingsari,Tourist attraction,-7.64286,110.429575,Sleman Regency,"Pentingsari, Umbulharjo, Cangkringan",,55583,Special Region of Yogyakarta,Yogyakarta,4.6,1441,Setiap hari: Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,Open 24 hours,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,https://www.google.com/maps/place/Desa+Wisata+Pentingsari/data=!4m7!3m6!1s0x2e7a5de3a525c159:0xf67c163f17bf42f9!8m2!3d-7.6428597!4d110.4295754!16s%2Fg%2F11f1wp2429!19sChIJWcElpeNdei4R-UK_Fz8WfPY?authuser=0&hl=en&rclk=1,google_maps,0.8047,0x2e7a5de3a525c159_0xf67c163f17bf42f9
Desa Wisata Tepus,Tourist attraction,-8.11484,110.635978,Gunungkidul Regency,"Pudak, Tepus",VJPP+39,55881,Special Region of Yogyakarta,Yogyakarta,4.6,39,Setiap hari: Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,Open 24 hours,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://www.google.com/maps/place/Desa+Wisata+Tepus/data=!4m7!3m6!1s0x2e7bb9c8ca8f5f09:0x2fdcdec1e7604502!8m2!3d-8.1148402!4d110.6359781!16s%2Fg%2F11sl4b9xp6!19sChIJCV-Pysi5ey4RAkVg58He3C8?authuser=0&hl=en&rclk=1,google_maps,0.6793,0x2e7bb9c8ca8f5f09_0x2fdcdec1e7604502
Desa Wisata Kelor,Tourist attraction,-7.641026,110.362279,Sleman Regency,"Kelor, Bangun Kerto, Turi",,55551,Special Region of Yogyakarta,Yogyakarta,4.5,990,Setiap hari: 9.00 am–5.00 pm,9.00 am–5.00 pm,9.00 am–5.00 pm,9.00 am–5.00 pm,9.00 am–5.00 pm,9.00 am–5.00 pm,9.00 am–5.00 pm,,9.00 am–5.00 pm,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,https://www.google.com/maps/place/Desa+Wisata+Kelor/data=!4m7!3m6!1s0x2e7a5fdcdf4da0af:0xa4e182adcb39c2a6!8m2!3d-7.6410258!4d110.3622794!16s%2Fg%2F1pzxgfq65!19sChIJr6BN39xfei4RpsI5y62C4aQ?authuser=0&hl=en&rclk=1,google_maps,0.7797,0x2e7a5fdcdf4da0af_0xa4e182adcb39c2a6
Desa Wisata Pulesari,Tourist attraction,-7.625881,110.371698,Sleman Regency,"Pulesari, Wono Kerto, Turi","99FC+JMW, Jl. Pulesari",55551,Special Region of Yogyakarta,Yogyakarta,4.5,3174,Sen: 7.30 am–5.30 pm | Sel: 7.30 am–5.30 pm | Rab: 7.30 am–5.30 pm | Kam: 7.30 am–5.30 pm | Jum: 7.30 am–5.30 pm | Sab: Open 24 hours | Min: Open 24 hours,7.30 am–5.30 pm,7.30 am–5.30 pm,7.30 am–5.30 pm,7.30 am–5.30 pm,7.30 am–5.30 pm,Open 24 hours,,Open 24 hours,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,https://www.google.com/maps/place/Desa+Wisata+Pulesari/data=!4m7!3m6!1s0x2e7a607be3e2fd29:0x1bf37c8ecf4f712d!8m2!3d-7.6258806!4d110.371698!16s%2Fg%2F11b6zwg5ct!19sChIJKf3i43tgei4RLXFPz4588xs?authuser=0&hl=en&rclk=1,google_maps,0.8201,0x2e7a607be3e2fd29_0x1bf37c8ecf4f712d
Kampung Wisata Sosromenduran,Amusement park,-7.79219,110.362151,Yogyakarta City,"Sosromenduran, Gedong Tengen","001, Jl. Sosrowijayan No.69",55271,Special Region of Yogyakarta,Yogyakarta,4.2,46,,,,,,,,,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,https://www.google.com/maps/place/Kampung+Wisata+Sosromenduran/data=!4m7!3m6!1s0x2e7a5826be29978d:0xe41a56956d58b8c7!8m2!3d-7.79219!4d110.362151!16s%2Fg%2F1pzs29j25!19sChIJjZcpviZYei4Rx7hYbZVWGuQ?authuser=0&hl=en&rclk=1,google_maps,0.637,0x2e7a5826be29978d_0xe41a56956d58b8c7
Gerabah Kasongan Tourist Village Yogyakarta,Tourist attraction,-7.846026,110.338732,Bantul Regency,"Kajen, Bangunjiwo, Kasihan",Jl. Kasongan No.3,55184,Special Region of Yogyakarta,Yogyakarta,4.6,1160,Sen: 8.00 am–4.00 pm | Sel: 8.00 am–4.00 pm | Rab: 8.00 am–4.00 pm | Kam: 8.00 am–4.00 pm | Jum: 8.00 am–4.00 pm | Sab: 8.00 am–4.00 pm | Min: 9.00 am–4.00 pm,8.00 am–4.00 pm,8.00 am–4.00 pm,8.00 am–4.00 pm,8.00 am–4.00 pm,8.00 am–4.00 pm,8.00 am–4.00 pm,,9.00 am–4.00 pm,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,https://www.google.com/maps/place/Gerabah+Kasongan+Tourist+Village+Yogyakarta/data=!4m7!3m6!1s0x2e7a562ec443e609:0xdd8f6df4e1b97dfc!8m2!3d-7.8460258!4d110.3387325!16s%2Fg%2F11hbprbclw!19sChIJCeZDxC5Wei4R_H254fRtj90?authuser=0&hl=en&rclk=1,google_maps,0.7972,0x2e7a562ec443e609_0xdd8f6df4e1b97dfc
Taman Sari Tourist Village,Historical landmark,-7.810046,110.3592,Yogyakarta City,"Patehan, Kraton",,55133,Special Region of Yogyakarta,Yogyakarta,4.6,45199,Setiap hari: 9.00 am–3.00 pm,9.00 am–3.00 pm,9.00 am–3.00 pm,9.00 am–3.00 pm,9.00 am–3.00 pm,9.00 am–3.00 pm,9.00 am–3.00 pm,,9.00 am–3.00 pm,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,https://www.google.com/maps/place/Taman+Sari+Tourist+Village/data=!4m7!3m6!1s0x2e7a5793d0c2cf2b:0x276a21f8a01cbe13!8m2!3d-7.8100463!4d110.3591999!16s%2Fm%2F0b6gg2m!19sChIJK8_C0JNXei4RE74coPghaic?authuser=0&hl=en&rclk=1,google_maps,0.9244,0x2e7a5793d0c2cf2b_0x276a21f8a01cbe13
Karangtengah Tourism Village,Tourist attraction,-7.937673,110.381942,Bantul Regency,"Karang Rejeki, Karangtengah, Imogiri","396J+9X6, Jalan",55782,Special Region of Yogyakarta,Yogyakarta,4.4,294,Setiap hari: Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,,Open 24 hours,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,https://www.google.com/maps/place/Karangtengah+Tourism+Village/data=!4m7!3m6!1s0x2e7a54f779dfd8a3:0x1c94c6d568a2b581!8m2!3d-7.9376732!4d110.3819417!16s%2Fg%2F1pzqybr71!19sChIJo9jfefdUei4RgbWiaNXGlBw?authuser=0&hl=en&rclk=1,google_maps,0.7255,0x2e7a54f779dfd8a3_0x1c94c6d568a2b581
