name,category,latitude,longitude,city,borough,street,postal_code,state,region,review_rating,review_count,open_hours,open_hours_monday,open_hours_tuesday,open_hours_wednesday,open_hours_thursday,open_hours_friday,open_hours_saturday,open_hours_sunday,price_range,has_toilet,has_restaurant,wheelchair_accessible,good_for_kids,good_for_kids_birthday,has_parking,has_free_parking,requires_appointment,tickets_in_advance,outdoor_seating,delivery_available,dine_in,great_coffee,great_food,cash_only,google_maps_url,source,popularity_score,restaurant_id
74Coffee.ID,Coffee shop,-7.766017,110.379822,Sleman Regency,"Kocoran, Caturtunggal, Depok",Jl. Agro No.11,55281,Special Region of Yogyakarta,Yogyakarta,4.6,105,Setiap hari: 10.00 am–12.00 am,10.00 am–12.00 am,10.00 am–12.00 am,10.00 am–12.00 am,10.00 am–12.00 am,10.00 am–12.00 am,10.00 am–12.00 am,10.00 am–12.00 am,Rp 25–50K,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,https://www.google.com/maps/place/74Coffee.ID/data=!4m7!3m6!1s0x2e7a5985f40c55b7:0xabaf15be7d7cb334!8m2!3d-7.7660167!4d110.3798224!16s%2Fg%2F11lglj_3z4!19sChIJt1UM9IVZei4RNLN8fb4Vr6s?authuser=0&hl=en&rclk=1,google_maps,0.7137,0x2e7a5985f40c55b7_0xabaf15be7d7cb334
Opposite Fitness and Coffee,Coffee shop,-7.772448,110.381987,Sleman Regency,"Karang Malang, Caturtunggal, Depok","Jln. Prof. Dr. Notonagoro Selatan, Jl. Lembah UGM",55281,Special Region of Yogyakarta,Yogyakarta,4.6,243,Setiap hari: 8.00 am–10.00 pm,8.00 am–10.00 pm,8.00 am–10.00 pm,8.00 am–10.00 pm,8.00 am–10.00 pm,8.00 am–10.00 pm,8.00 am–10.00 pm,8.00 am–10.00 pm,Rp 1–50.000,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,https://www.google.com/maps/place/Opposite+Fitness+and+Coffee/data=!4m7!3m6!1s0x2e7a59b5a8d16773:0xfab3aae01aebb8db!8m2!3d-7.7724484!4d110.3819871!16s%2Fg%2F11c6qcdsf4!19sChIJc2fRqLVZei4R27jrGuCqs_o?authuser=0&hl=en&rclk=1,google_maps,0.7428,0x2e7a59b5a8d16773_0xfab3aae01aebb8db
Zomia Co-Working Space,Coffee shop,-7.767707,110.380914,Sleman Regency,"Kocoran, Caturtunggal, Depok","Fakultas Kehutanan UGM, Pojok Timur-Selatan, Jl. Agro No.1",55281,Special Region of Yogyakarta,Yogyakarta,4.7,575,Sen: 8.00 am–9.00 pm | Sel: 8.00 am–9.00 pm | Rab: 8.00 am–9.00 pm | Kam: 8.00 am–9.00 pm | Jum: 8.00 am–9.00 pm | Sab: 8.00 am–9.00 pm | Min: 8.00 am–5.00 pm,8.00 am–9.00 pm,8.00 am–9.00 pm,8.00 am–9.00 pm,8.00 am–9.00 pm,8.00 am–9.00 pm,8.00 am–9.00 pm,8.00 am–5.00 pm,Rp 25–50K,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,https://www.google.com/maps/place/Zomia+Co-Working+Space/data=!4m7!3m6!1s0x2e7a59df0ed8ec19:0x67bb71af11301572!8m2!3d-7.7677069!4d110.3809141!16s%2Fg%2F11rbkxjdkv!19sChIJGezYDt9Zei4RchUwEa9xu2c?authuser=0&hl=en&rclk=1,google_maps,0.7848,0x2e7a59df0ed8ec19_0x67bb71af11301572
Mr.LIKE,Coffee shop,-7.766686,110.384575,Sleman Regency,"Kocoran, Caturtunggal, Depok",Jl. Gambir,55281,Special Region of Yogyakarta,Yogyakarta,4.5,741,Sen: 8.00 am–12.00 am | Sel: 8.00 am–12.00 am | Rab: 1.00 pm–12.00 am | Kam: 8.00 am–12.00 am | Jum: 8.00 am–12.00 am | Sab: 8.00 am–12.00 am | Min: 8.00 am–12.00 am,8.00 am–12.00 am,8.00 am–12.00 am,1.00 pm–12.00 am,8.00 am–12.00 am,8.00 am–12.00 am,8.00 am–12.00 am,8.00 am–12.00 am,Rp 25–50K,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,https://www.google.com/maps/place/Mr.LIKE/data=!4m7!3m6!1s0x2e7a597ef29bc1d9:0x53500bdbe549ef0f!8m2!3d-7.7666858!4d110.3845753!16s%2Fg%2F11jsy3zz_7!19sChIJ2cGb8n5Zei4RD-9J5dsLUFM?authuser=0&hl=en&rclk=1,google_maps,0.7696,0x2e7a597ef29bc1d9_0x53500bdbe549ef0f
Kopi Lembah UGM,Cafe,-7.770459,110.381996,Sleman Regency,"Karang Gayam, Caturtunggal, Depok",Jl. Lembah UGM,55281,Special Region of Yogyakarta,Yogyakarta,4.4,427,Setiap hari: 7.00 am–6.00 pm,7.00 am–6.00 pm,7.00 am–6.00 pm,7.00 am–6.00 pm,7.00 am–6.00 pm,7.00 am–6.00 pm,7.00 am–6.00 pm,7.00 am–6.00 pm,Rp 25–50K,1,0,0,1,0,1,1,0,0,1,0,1,1,1,0,https://www.google.com/maps/place/Kopi+Lembah+UGM/data=!4m7!3m6!1s0x2e7a59f6486cb643:0x26875b20c8a99f34!8m2!3d-7.7704591!4d110.3819965!16s%2Fg%2F11h3ppk9mt!19sChIJQ7ZsSPZZei4RNJ-pyCBbhyY?authuser=0&hl=en&rclk=1,google_maps,0.7384,0x2e7a59f6486cb643_0x26875b20c8a99f34
Canie Coffee & Space,Cafe,-7.754782,110.381049,Sleman Regency,"Manggung, Caturtunggal, Depok","Jl. Pandega Marta No.99, RT.03 RW01/RW.Kalurahan",55281,Special Region of Yogyakarta,Yogyakarta,4.4,445,Setiap hari: 9.00 am–12.30 am,9.00 am–12.30 am,9.00 am–12.30 am,9.00 am–12.30 am,9.00 am–12.30 am,9.00 am–12.30 am,9.00 am–12.30 am,9.00 am–12.30 am,Rp 25–50K,1,0,0,0,0,1,0,0,0,1,0,1,1,1,0,https://www.google.com/maps/place/Canie+Coffee+%26+Space/data=!4m7!3m6!1s0x2e7a59d54db731bd:0x5efe57fa64074e74!8m2!3d-7.7547822!4d110.3810488!16s%2Fg%2F11m5y45bqz!19sChIJvTG3TdVZei4RdE4HZPpX_l4?authuser=0&hl=en&rclk=1,google_maps,0.7399,0x2e7a59d54db731bd_0x5efe57fa64074e74
NAWWA KOPI,Coffee shop,-7.776983,110.382888,Sleman Regency,"Karang Malang, Caturtunggal, Depok","Jl. Colombo Jl. Karangmalang No.30, RW.02",55281,Special Region of Yogyakarta,Yogyakarta,4.7,370,Setiap hari: Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Open 24 hours,Rp 1–25.000,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,https://www.google.com/maps/place/NAWWA+KOPI/data=!4m7!3m6!1s0x2e7a59641f78357b:0xeea8844d22c9b67e!8m2!3d-7.7769829!4d110.382888!16s%2Fg%2F11h_1r126s!19sChIJezV4H2RZei4RfrbJIk2EqO4?authuser=0&hl=en&rclk=1,google_maps,0.7695,0x2e7a59641f78357b_0xeea8844d22c9b67e
My Kopi-O!,Restaurant,-7.780706,110.376668,Yogyakarta City,"Terban, Gondokusuman",Jl. Candrakirana No.21,55223,Special Region of Yogyakarta,Yogyakarta,4.7,4746,Setiap hari: 11.00 am–11.00 pm,11.00 am–11.00 pm,11.00 am–11.00 pm,11.00 am–11.00 pm,11.00 am–11.00 pm,11.00 am–11.00 pm,11.00 am–11.00 pm,11.00 am–11.00 pm,Rp 50–75K,1,0,1,1,0,1,0,0,0,1,1,1,1,1,0,https://www.google.com/maps/place/My+Kopi-O!/data=!4m7!3m6!1s0x2e7a583365838e81:0x50c3a2bdbe76b7b1!8m2!3d-7.7807057!4d110.3766681!16s%2Fg%2F11cjk3fjf5!19sChIJgY6DZTNYei4Rsbd2vr2iw1A?authuser=0&hl=en&rclk=1,google_maps,0.8581,0x2e7a583365838e81_0x50c3a2bdbe76b7b1
Simetri Coffee Roaster,Coffee shop,-7.784344,110.374093,Yogyakarta City,"Kotabaru, Gondokusuman",Jl. Sabirin No.20,55224,Special Region of Yogyakarta,Yogyakarta,4.6,2283,Sen: 7.15 am–10.45 pm | Sel: 7.15 am–10.45 pm | Rab: 7.15 am–10.45 pm | Kam: 7.15 am–10.45 pm | Jum: 7.15 am–10.45 pm | Sab: 9.00 am–10.45 pm | Min: 9.00 am–10.45 pm,7.15 am–10.45 pm,7.15 am–10.45 pm,7.15 am–10.45 pm,7.15 am–10.45 pm,7.15 am–10.45 pm,9.00 am–10.45 pm,9.00 am–10.45 pm,Rp 25–50K,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,https://www.google.com/maps/place/Simetri+Coffee+Roaster/data=!4m7!3m6!1s0x2e7a58321847366b:0x2d1c974a3f408e1e!8m2!3d-7.784344!4d110.3740934!16s%2Fg%2F11dxnm7j9g!19sChIJazZHGDJYei4RHo5AP0qXHC0?authuser=0&hl=en&rclk=1,google_maps,0.8207,0x2e7a58321847366b_0x2d1c974a3f408e1e
Coklat Cafe,Cafe,-7.778882,110.375355,Yogyakarta City,"Terban, Gondokusuman",Jl. Cik Di Tiro No.19,55223,Special Region of Yogyakarta,Yogyakarta,4.5,2211,Sen: 11.00 am–11.00 pm | Sel: 11.00 am–11.00 pm | Rab: 11.00 am–11.00 pm | Kam: 11.00 am–11.00 pm | Jum: 11.00 am–11.00 pm | Sab: 11.00 am–12.00 am | Min: 11.00 am–11.00 pm,11.00 am–11.00 pm,11.00 am–11.00 pm,11.00 am–11.00 pm,11.00 am–11.00 pm,11.00 am–11.00 pm,11.00 am–12.00 am,11.00 am–11.00 pm,Rp 25–50K,1,0,1,1,0,1,1,0,0,1,0,1,1,1,0,https://www.google.com/maps/place/Coklat+Cafe/data=!4m7!3m6!1s0x2e7a583466ceb781:0x681fe56de541d582!8m2!3d-7.778882!4d110.375355!16s%2Fg%2F1pzr91571!19sChIJgbfOZjRYei4RgtVB5W3lH2g?authuser=0&hl=en&rclk=1,google_maps,0.8076,0x2e7a583466ceb781_0x681fe56de541d582
