input_id,title,category,latitude,longitude,complete_address,review_rating,review_count,open_hours,price_range,about,link,data_id
32d779d3-614d-4e96-a1bc-619a9a058a27,Kembang Arum Tourism Village,Tourist attraction,-7.65609,110.377182,"{""borough"":""Wetan Kali, Donokerto, Turi"",""street"":""Kembangarum 13, Donokerto, Turi"",""city"":""Sleman Regency"",""postal_code"":""55551"",""state"":""Special Region of Yogyakarta"",""country"":""ID""}",4.5,1051,"{""Friday"":[""8.00 am–4.00 pm""],""Monday"":[""8.00 am–4.00 pm""],""Saturday"":[""8.00 am–4.00 pm""],""Sunday"":[""8.00 am–4.00 pm""],""Thursday"":[""8.00 am–4.00 pm""],""Tuesday"":[""8.00 am–4.00 pm""],""Wednesday"":[""8.00 am–4.00 pm""]}",,"[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":false}]},{""id"":""amenities"",""name"":""Amenities"",""options"":[{""name"":""Toilet"",""enabled"":true}]},{""id"":""children"",""name"":""Children"",""options"":[{""name"":""Good for kids"",""enabled"":true}]}]",https://www.google.com/maps/place/Kembang+Arum+Tourism+Village/data=!4m7!3m6!1s0x2e7a5fb4a278b607:0x1d85349bbef2f8!8m2!3d-7.6560902!4d110.3771816!16s%2Fg%2F1pzv4xjgs!19sChIJB7Z4orRfei4R-PK-mzSFHQA?authuser=0&hl=en&rclk=1,0x2e7a5fb4a278b607:0x1d85349bbef2f8
32d779d3-614d-4e96-a1bc-619a9a058a27,Tanjung Tourism Village,Tourist attraction,-7.704665,110.379933,"{""borough"":""Ponason, Donoharjo, Ngaglik"",""street"":""79WH+4XM, Desa Tanjung"",""city"":""Sleman Regency"",""postal_code"":""55581"",""state"":""Special Region of Yogyakarta"",""country"":""ID""}",4.4,286,"{""Friday"":[""Open 24 hours""],""Monday"":[""Open 24 hours""],""Saturday"":[""Open 24 hours""],""Sunday"":[""Open 24 hours""],""Thursday"":[""Open 24 hours""],""Tuesday"":[""Open 24 hours""],""Wednesday"":[""Open 24 hours""]}",,"[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible entrance"",""enabled"":false}]},{""id"":""amenities"",""name"":""Amenities"",""options"":[{""name"":""Toilet"",""enabled"":true}]},{""id"":""planning"",""name"":""Planning"",""options"":[{""name"":""Getting tickets in advance recommended"",""enabled"":true}]},{""id"":""children"",""name"":""Children"",""options"":[{""name"":""Good for kids"",""enabled"":true}]}]",https://www.google.com/maps/place/Tanjung+Tourism+Village/data=!4m7!3m6!1s0x2e7a5efa540d4767:0x1e414eda10e5df99!8m2!3d-7.704665!4d110.379933!16s%2Fg%2F11bc7qxtyk!19sChIJZ0cNVPpeei4Rmd_lENpOQR4?authuser=0&hl=en&rclk=1,0x2e7a5efa540d4767:0x1e414eda10e5df99
32d779d3-614d-4e96-a1bc-619a9a058a27,Desa Wisata Pentingsari,Tourist attraction,-7.64286,110.429575,"{""borough"":""Pentingsari, Umbulharjo, Cangkringan"",""street"":"""",""city"":""Sleman Regency"",""postal_code"":""55583"",""state"":""Special Region of Yogyakarta"",""country"":""ID""}",4.6,1441,"{""Friday"":[""Open 24 hours""],""Monday"":[""Open 24 hours""],""Saturday"":[""Open 24 hours""],""Sunday"":[""Open 24 hours""],""Thursday"":[""Open 24 hours""],""Tuesday"":[""Open 24 hours""],""Wednesday"":[""Open 24 hours""]}",,"[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible seating"",""enabled"":true}]},{""id"":""amenities"",""name"":""Amenities"",""options"":[{""name"":""Gender-neutral toilets"",""enabled"":true},{""name"":""Toilet"",""enabled"":true}]},{""id"":""planning"",""name"":""Planning"",""options"":[{""name"":""Appointment required"",""enabled"":true}]},{""id"":""children"",""name"":""Children"",""options"":[{""name"":""Good for kids"",""enabled"":true}]}]",https://www.google.com/maps/place/Desa+Wisata+Pentingsari/data=!4m7!3m6!1s0x2e7a5de3a525c159:0xf67c163f17bf42f9!8m2!3d-7.6428597!4d110.4295754!16s%2Fg%2F11f1wp2429!19sChIJWcElpeNdei4R-UK_Fz8WfPY?authuser=0&hl=en&rclk=1,0x2e7a5de3a525c159:0xf67c163f17bf42f9
32d779d3-614d-4e96-a1bc-619a9a058a27,Desa Wisata Tepus,Tourist attraction,-8.11484,110.635978,"{""borough"":""Pudak, Tepus"",""street"":""VJPP+39"",""city"":""Gunungkidul Regency"",""postal_code"":""55881"",""state"":""Special Region of Yogyakarta"",""country"":""ID""}",4.6,39,"{""Friday"":[""Open 24 hours""],""Monday"":[""Open 24 hours""],""Saturday"":[""Open 24 hours""],""Sunday"":[""Open 24 hours""],""Thursday"":[""Open 24 hours""],""Tuesday"":[""Open 24 hours""],""Wednesday"":[""Open 24 hours""]}",,"[{""id"":""amenities"",""name"":""Amenities"",""options"":[{""name"":""Toilet"",""enabled"":true}]},{""id"":""children"",""name"":""Children"",""options"":[{""name"":""Good for kids"",""enabled"":true}]}]",https://www.google.com/maps/place/Desa+Wisata+Tepus/data=!4m7!3m6!1s0x2e7bb9c8ca8f5f09:0x2fdcdec1e7604502!8m2!3d-8.1148402!4d110.6359781!16s%2Fg%2F11sl4b9xp6!19sChIJCV-Pysi5ey4RAkVg58He3C8?authuser=0&hl=en&rclk=1,0x2e7bb9c8ca8f5f09:0x2fdcdec1e7604502
32d779d3-614d-4e96-a1bc-619a9a058a27,Desa Wisata Kelor,Tourist attraction,-7.641026,110.362279,"{""borough"":""Kelor, Bangun Kerto, Turi"",""street"":"""",""city"":""Sleman Regency"",""postal_code"":""55551"",""state"":""Special Region of Yogyakarta"",""country"":""ID""}",4.5,990,"{""Friday"":[""9.00 am–5.00 pm""],""Monday"":[""9.00 am–5.00 pm""],""Saturday"":[""9.00 am–5.00 pm""],""Sunday"":[""9.00 am–5.00 pm""],""Thursday"":[""9.00 am–5.00 pm""],""Tuesday"":[""9.00 am–5.00 pm""],""Wednesday"":[""9.00 am–5.00 pm""]}",,"[{""id"":""amenities"",""name"":""Amenities"",""options"":[{""name"":""Toilet"",""enabled"":true}]},{""id"":""planning"",""name"":""Planning"",""options"":[{""name"":""Getting tickets in advance recommended"",""enabled"":true}]},{""id"":""children"",""name"":""Children"",""options"":[{""name"":""Good for kids"",""enabled"":true},{""name"":""Good for kids birthday"",""enabled"":true}]},{""id"":""parking"",""name"":""Parking"",""options"":[{""name"":""Free of charge street parking"",""enabled"":true}]}]",https://www.google.com/maps/place/Desa+Wisata+Kelor/data=!4m7!3m6!1s0x2e7a5fdcdf4da0af:0xa4e182adcb39c2a6!8m2!3d-7.6410258!4d110.3622794!16s%2Fg%2F1pzxgfq65!19sChIJr6BN39xfei4RpsI5y62C4aQ?authuser=0&hl=en&rclk=1,0x2e7a5fdcdf4da0af:0xa4e182adcb39c2a6
32d779d3-614d-4e96-a1bc-619a9a058a27,Desa Wisata Pulesari,Tourist attraction,-7.625881,110.371698,"{""borough"":""Pulesari, Wono Kerto, Turi"",""street"":""99FC+JMW, Jl. Pulesari"",""city"":""Sleman Regency"",""postal_code"":""55551"",""state"":""Special Region of Yogyakarta"",""country"":""ID""}",4.5,3174,"{""Friday"":[""7.30 am–5.30 pm""],""Monday"":[""7.30 am–5.30 pm""],""Saturday"":[""Open 24 hours""],""Sunday"":[""Open 24 hours""],""Thursday"":[""7.30 am–5.30 pm""],""Tuesday"":[""7.30 am–5.30 pm""],""Wednesday"":[""7.30 am–5.30 pm""]}",,"[{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""On-site services"",""enabled"":true}]},{""id"":""amenities"",""name"":""Amenities"",""options"":[{""name"":""Gender-neutral toilets"",""enabled"":true},{""name"":""Toilet"",""enabled"":true}]},{""id"":""planning"",""name"":""Planning"",""options"":[{""name"":""Getting tickets in advance recommended"",""enabled"":true}]},{""id"":""children"",""name"":""Children"",""options"":[{""name"":""Good for kids"",""enabled"":true},{""name"":""Good for kids birthday"",""enabled"":true}]},{""id"":""parking"",""name"":""Parking"",""options"":[{""name"":""Free parking lot"",""enabled"":true},{""name"":""On-site parking"",""enabled"":true}]}]",https://www.google.com/maps/place/Desa+Wisata+Pulesari/data=!4m7!3m6!1s0x2e7a607be3e2fd29:0x1bf37c8ecf4f712d!8m2!3d-7.6258806!4d110.371698!16s%2Fg%2F11b6zwg5ct!19sChIJKf3i43tgei4RLXFPz4588xs?authuser=0&hl=en&rclk=1,0x2e7a607be3e2fd29:0x1bf37c8ecf4f712d
32d779d3-614d-4e96-a1bc-619a9a058a27,Kampung Wisata Sosromenduran,Amusement park,-7.79219,110.362151,"{""borough"":""Sosromenduran, Gedong Tengen"",""street"":""001, Jl. Sosrowijayan No.69"",""city"":""Yogyakarta City"",""postal_code"":""55271"",""state"":""Special Region of Yogyakarta"",""country"":""ID""}",4.2,46,{},,"[{""id"":""amenities"",""name"":""Amenities"",""options"":[{""name"":""Restaurant"",""enabled"":true},{""name"":""Toilet"",""enabled"":true}]},{""id"":""children"",""name"":""Children"",""options"":[{""name"":""Good for kids"",""enabled"":true}]}]",https://www.google.com/maps/place/Kampung+Wisata+Sosromenduran/data=!4m7!3m6!1s0x2e7a5826be29978d:0xe41a56956d58b8c7!8m2!3d-7.79219!4d110.362151!16s%2Fg%2F1pzs29j25!19sChIJjZcpviZYei4Rx7hYbZVWGuQ?authuser=0&hl=en&rclk=1,0x2e7a5826be29978d:0xe41a56956d58b8c7
32d779d3-614d-4e96-a1bc-619a9a058a27,Gerabah Kasongan Tourist Village Yogyakarta,Tourist attraction,-7.846026,110.338732,"{""borough"":""Kajen, Bangunjiwo, Kasihan"",""street"":""Jl. Kasongan No.3"",""city"":""Bantul Regency"",""postal_code"":""55184"",""state"":""Special Region of Yogyakarta"",""country"":""ID""}",4.6,1160,"{""Friday"":[""8.00 am–4.00 pm""],""Monday"":[""8.00 am–4.00 pm""],""Saturday"":[""8.00 am–4.00 pm""],""Sunday"":[""9.00 am–4.00 pm""],""Thursday"":[""8.00 am–4.00 pm""],""Tuesday"":[""8.00 am–4.00 pm""],""Wednesday"":[""8.00 am–4.00 pm""]}",,"[{""id"":""from_the_business"",""name"":""From the business"",""options"":[{""name"":""Identifies as women-owned"",""enabled"":true}]},{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""On-site services"",""enabled"":false}]},{""id"":""amenities"",""name"":""Amenities"",""options"":[{""name"":""Toilet"",""enabled"":true}]},{""id"":""planning"",""name"":""Planning"",""options"":[{""name"":""Appointment required"",""enabled"":true}]},{""id"":""children"",""name"":""Children"",""options"":[{""name"":""Good for kids"",""enabled"":true}]},{""id"":""parking"",""name"":""Parking"",""options"":[{""name"":""Free parking lot"",""enabled"":true}]}]",https://www.google.com/maps/place/Gerabah+Kasongan+Tourist+Village+Yogyakarta/data=!4m7!3m6!1s0x2e7a562ec443e609:0xdd8f6df4e1b97dfc!8m2!3d-7.8460258!4d110.3387325!16s%2Fg%2F11hbprbclw!19sChIJCeZDxC5Wei4R_H254fRtj90?authuser=0&hl=en&rclk=1,0x2e7a562ec443e609:0xdd8f6df4e1b97dfc
32d779d3-614d-4e96-a1bc-619a9a058a27,Taman Sari Tourist Village,Historical landmark,-7.810046,110.3592,"{""borough"":""Patehan, Kraton"",""street"":"""",""city"":""Yogyakarta City"",""postal_code"":""55133"",""state"":""Special Region of Yogyakarta"",""country"":""ID""}",4.6,45199,"{""Friday"":[""9.00 am–3.00 pm""],""Monday"":[""9.00 am–3.00 pm""],""Saturday"":[""9.00 am–3.00 pm""],""Sunday"":[""9.00 am–3.00 pm""],""Thursday"":[""9.00 am–3.00 pm""],""Tuesday"":[""9.00 am–3.00 pm""],""Wednesday"":[""9.00 am–3.00 pm""]}",,"[{""id"":""service_options"",""name"":""Service options"",""options"":[{""name"":""On-site services"",""enabled"":true}]},{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":false},{""name"":""Wheelchair-accessible entrance"",""enabled"":false}]},{""id"":""children"",""name"":""Children"",""options"":[{""name"":""Good for kids"",""enabled"":true}]},{""id"":""parking"",""name"":""Parking"",""options"":[{""name"":""Paid parking lot"",""enabled"":true},{""name"":""Paid street parking"",""enabled"":true}]}]",https://www.google.com/maps/place/Taman+Sari+Tourist+Village/data=!4m7!3m6!1s0x2e7a5793d0c2cf2b:0x276a21f8a01cbe13!8m2!3d-7.8100463!4d110.3591999!16s%2Fm%2F0b6gg2m!19sChIJK8_C0JNXei4RE74coPghaic?authuser=0&hl=en&rclk=1,0x2e7a5793d0c2cf2b:0x276a21f8a01cbe13
32d779d3-614d-4e96-a1bc-619a9a058a27,Karangtengah Tourism Village,Tourist attraction,-7.937673,110.381942,"{""borough"":""Karang Rejeki, Karangtengah, Imogiri"",""street"":""396J+9X6, Jalan"",""city"":""Bantul Regency"",""postal_code"":""55782"",""state"":""Special Region of Yogyakarta"",""country"":""ID""}",4.4,294,"{""Friday"":[""Open 24 hours""],""Monday"":[""Open 24 hours""],""Saturday"":[""Open 24 hours""],""Sunday"":[""Open 24 hours""],""Thursday"":[""Open 24 hours""],""Tuesday"":[""Open 24 hours""],""Wednesday"":[""Open 24 hours""]}",,"[{""id"":""amenities"",""name"":""Amenities"",""options"":[{""name"":""Toilet"",""enabled"":true}]},{""id"":""children"",""name"":""Children"",""options"":[{""name"":""Good for kids"",""enabled"":true}]}]",https://www.google.com/maps/place/Karangtengah+Tourism+Village/data=!4m7!3m6!1s0x2e7a54f779dfd8a3:0x1c94c6d568a2b581!8m2!3d-7.9376732!4d110.3819417!16s%2Fg%2F1pzqybr71!19sChIJo9jfefdUei4RgbWiaNXGlBw?authuser=0&hl=en&rclk=1,0x2e7a54f779dfd8a3:0x1c94c6d568a2b581
32d779d3-614d-4e96-a1bc-619a9a058a27,Tourism Village Pandeyan,Tourist attraction,-7.814481,110.386165,"{""borough"":""Pandeyan, Umbulharjo"",""street"":""59PP+6F3, Jl. Pandeyan"",""city"":""Yogyakarta City"",""postal_code"":""55161"",""state"":""Special Region of Yogyakarta"",""country"":""ID""}",4.7,52,"{""Friday"":[""8.00 am–4.00 am""],""Monday"":[""8.00 am–4.00 pm""],""Saturday"":[""8.00 am–4.00 pm""],""Sunday"":[""8.00 am–4.00 pm""],""Thursday"":[""8.00 am–4.00 pm""],""Tuesday"":[""8.00 am–4.00 pm""],""Wednesday"":[""8.00 am–4.00 pm""]}",,"[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":false}]},{""id"":""amenities"",""name"":""Amenities"",""options"":[{""name"":""Toilet"",""enabled"":true}]},{""id"":""children"",""name"":""Children"",""options"":[{""name"":""Good for kids"",""enabled"":true}]}]",https://www.google.com/maps/place/Tourism+Village+Pandeyan/data=!4m7!3m6!1s0x2e7a57733faba62f:0x549b89f4ce016d6b!8m2!3d-7.814481!4d110.386165!16s%2Fg%2F11b6d00x3b!19sChIJL6arP3NXei4Ra20BzvSJm1Q?authuser=0&hl=en&rclk=1,0x2e7a57733faba62f:0x549b89f4ce016d6b
32d779d3-614d-4e96-a1bc-619a9a058a27,Sukunan Tourism Village,Tourist attraction,-7.78359,110.336377,"{""borough"":""Sukunan, Banyuraden, Gamping"",""street"":"""",""city"":""Sleman Regency"",""postal_code"":""55293"",""state"":""Special Region of Yogyakarta"",""country"":""ID""}",4.5,338,"{""Friday"":[""8.00 am–5.00 pm""],""Monday"":[""8.00 am–5.00 pm""],""Saturday"":[""8.00 am–5.00 pm""],""Sunday"":[""8.00 am–5.00 pm""],""Thursday"":[""8.00 am–5.00 pm""],""Tuesday"":[""8.00 am–5.00 pm""],""Wednesday"":[""8.00 am–5.00 pm""]}",,"[{""id"":""accessibility"",""name"":""Accessibility"",""options"":[{""name"":""Wheelchair-accessible car park"",""enabled"":false},{""name"":""Wheelchair-accessible entrance"",""enabled"":false}]},{""id"":""amenities"",""name"":""Amenities"",""options"":[{""name"":""Toilet"",""enabled"":true}]},{""id"":""children"",""name"":""Children"",""options"":[{""name"":""Good for kids"",""enabled"":true}]}]",https://www.google.com/maps/place/Sukunan+Tourism+Village/data=!4m7!3m6!1s0x2e7a580936ba3a2b:0xdb36b153873be1fb!8m2!3d-7.7835904!4d110.336377!16s%2Fg%2F11bx1grd0l!19sChIJKzq6NglYei4R--E7h1OxNts?authuser=0&hl=en&rclk=1,0x2e7a580936ba3a2b:0xdb36b153873be1fb
32d779d3-614d-4e96-a1bc-619a9a058a27,Kampung Wisata Tahunan,Tourist attraction,-7.80657,110.38263,"{""borough"":""Tahunan, Umbulharjo"",""street"":""Jl. Soga"",""city"":""Yogyakarta City"",""postal_code"":""55167"",""state"":""Special Region of Yogyakarta"",""country"":""ID""}",5.0,1,"{""Friday"":[""Open 24 hours""],""Monday"":[""Open 24 hours""],""Saturday"":[""Open 24 hours""],""Sunday"":[""Open 24 hours""],""Thursday"":[""Open 24 hours""],""Tuesday"":[""Open 24 hours""],""Wednesday"":[""Open 24 hours""]}",,,https://www.google.com/maps/place/Kampung+Wisata+Tahunan/data=!4m7!3m6!1s0x2e7a576dabe6a4b7:0xb308943da49fcd93!8m2!3d-7.8065705!4d110.3826303!16s%2Fg%2F11s34w7dwv!19sChIJt6Tmq21Xei4Rk82fpD2UCLM?authuser=0&hl=en&rclk=1,0x2e7a576dabe6a4b7:0xb308943da49fcd93
